CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,CH 11,CH 12,Suhu,Debit
10,67,19,92,98,70,49,60,89,98,50,75,27.6,164.4812
0,10,22,34,9,14,81,28,17,16,10,0,27.4,69.907
10,3,18,10,2,2,0,17,2,11,20,0,27.3,91.315
20,8,20,0,26,5,0,27,0,0,17,0,25.7,62.47055
37,22,46,76,28,30,0,30,88,34,5,2,27.5,103.8898
0,57,26,41,54,42,24,0,23,8,23,26,27,99.291
10,0,16,0,0,0,20,15,0,20,30,0,28.4,70.968
0,0,18,0,1,0,0,0,0,67,11,21,28,92.705
0,32,11,28,26,25,11,0,5,20,0,12,26.8,66.401
0,52,0,35,26,37,0,0,0,39,0,1,28,65.52132
37,8,32,20,16,7,32,10,0,3,0,0,27.5,82.824
0,6,37,18,3,7,11,0,0,2,0,0,27.5,89.866
0,96,43,33,58,94,0,17,20,0,4,0,27.4,93.628
19,4,2,11,6,4,0,0,50,6,0,0,28.6,65.595
0,0,0,0,0,0,21,0,31,3,0,8,27.3,38.462
0,1,0,0,1,4,14,0,0,5,0,0,26.9,27.773
0,0,0,7,0,0,0,0,5,9,0,0,27.7,24.466
12,2,0,0,0,2,5,14,0,12,45,0,27.4,46.442
0,4,4,0,1,0,0,0,0,16,25,22,26.8,37.814
0,0,0,0,2,0,0,0,0,12,0,20,27.3,29.081
29,0,9,5,0,0,16,30,4,0,32,3,27,36.968
0,3,15,4,2,3,0,45,2,5,18,4,27.3,128.258
14,21,27,31,23,29,29,25,20,101,85,74,28.1,119.0204
19,39,30,19,23,40,47,35,24,24,5,26,28.5,100.205
0,34,48,39,23,35,0,27,32,51,16,50,27.2,107.8857
17,11,0,8,22,10,11,0,8,11,0,5,27.4,75.56678
13,0,0,6,0,0,0,0,0,6,15,1,27.9,68.556
0,0,0,0,0,0,38,17,0,5,17,4,28.5,52.356
0,0,6,0,3,0,0,10,2,22,5,21,27.6,52.344
0,8,4,0,14,8,0,0,0,42,48,38,28.4,56.9184
0,0,0,0,0,2,0,0,2,91,64,55,28.2,92.273
36,56,39,0,58,52,17,30,0,53,57,70,28.1,103.741
17,0,51,0,0,0,0,42,0,0,0,0,27.6,83.445
8,19,31,0,6,20,47,35,0,0,26,12,28,73.71309
21,36,22,18,16,32,11,22,28,0,0,13,27.3,104.113
12,0,0,8,14,0,0,37,5,0,0,0,28.9,120.403
51,21,0,6,48,23,0,18,10,10,0,0,29.1,64.07735
0,21,0,0,91,21,87,0,0,0,0,0,28.9,85.133
19,0,0,5,0,0,59,27,0,13,7,0,29.3,82.447
0,78,2,0,12,76,0,10,9,0,0,0,28.3,69.683
0,29,1,14,33,30,0,0,10,9,0,10,28.3,59.91
9,0,39,0,18,0,5,0,0,0,0,0,28.3,66.938
0,7,51,6,12,10,46,13,36,50,25,17,28.7,66.704
0,0,31,6,12,0,0,0,0,0,0,0,28.1,44.88
11,0,22,0,0,0,27,0,0,0,6,0,28.7,36.104
0,0,0,0,0,0,21,0,27,5,0,0,27.6,33.019
0,2,0,8,5,4,9,0,7,0,7,0,28.3,37.684
7,12,0,14,12,15,0,20,0,2,0,7,27.6,32.609
0,0,0,0,2,0,23,0,0,8,0,0,27.6,29.693
0,0,2,0,0,0,0,0,0,0,0,0,28.1,60.598
0,6,1,28,24,2,0,0,0,46,25,24,28,42.676
0,0,0,0,0,0,19,17,0,0,32,22,25.9,116.438
8,62,0,34,67,0,10,0,20,6,10,14,27,74.845
0,2,32,12,1,0,63,29,22,15,32,45,27.8,107.463
0,7,0,0,50,0,0,15,0,0,0,0,27.6,76.67
12,0,0,0,0,0,0,30,0,0,0,0,27.4,51.869
0,0,17,0,3,0,15,0,0,0,0,0,28.7,73.025
6,27,39,0,21,21,0,0,27,0,0,0,28.3,76.496
0,0,0,0,0,0,21,0,0,35,20,24,28,56.76
0,0,0,0,0,0,0,0,0,0,0,0,27.8,39.812
0,0,30,0,0,0,0,10,0,3,0,0,27.6,32.507
0,0,18,0,0,0,0,0,0,0,0,0,28.1,53.609
58,0,0,0,0,0,0,0,0,6,0,0,27.6,62.642
14,0,0,0,0,0,0,20,0,0,0,5,28.4,41.592
0,0,0,0,0,0,0,0,0,0,0,1,27.4,45.121
0,0,0,0,0,0,0,30,0,0,0,0,27.9,39.617
0,0,0,0,0,0,0,0,0,0,0,0,27.5,28.771
0,0,0,0,0,0,0,0,0,0,0,0,27.6,25.483
0,0,0,0,0,0,0,0,2,0,0,0,27.9,21.912
0,0,0,24,0,0,0,0,1,44,0,2,27.3,24.922
16,0,0,0,0,0,0,0,0,0,0,0,28,24.607
23,0,0,0,0,0,38,15,0,8,4,0,27.3,127.911
0,60,38,61,0,0,0,0,24,12,0,1,28,82.477
19,0,27,0,0,0,51,0,0,24,0,0,27.2,96.149
14,19,7,3,3,0,0,0,0,0,0,60,27.6,53.52565
0,11,0,13,13,0,8,0,6,0,0,0,27.3,110.105
0,0,0,32,31,0,0,21,18,11,45,0,28.1,73.32
17,78,0,0,0,0,23,0,0,0,25,24,27.5,70.609
0,20,0,6,7,0,0,0,4,6,0,0,27.1,48.057
0,0,0,7,2,0,0,0,0,0,0,0,28.3,42.213
0,10,18,3,3,8,0,0,0,0,0,0,27.6,42.529
0,19,12,0,45,14,0,0,0,0,0,0,28.3,60.896
0,0,8,28,0,0,27,0,0,6,0,0,28,37.416
0,0,0,0,0,0,18,0,0,0,0,0,27.6,36.447
10,0,0,0,0,0,0,0,16,3,0,0,27.9,25.714
0,0,7,43,0,0,0,0,0,0,0,0,27.7,23.077
13,34,0,43,6,24,0,0,2,0,0,0,23.3,41.245
8,9,0,16,0,6,5,0,0,0,0,0,28,46.987
15,4,0,11,0,0,0,0,10,8,0,0,28.4,41.552
0,6,0,4,0,4,0,25,0,12,0,0,28.8,30.932
